location,alarm,involved,affected,damages,brgy,date,month,type
ST. MARY'S DAANG BATANG,4,RESIDENTIAL,3,120,MOONWALK,01/08/2019,1
PHILACOR DRV. , SAN ANTONIO,1,RESIDENTIAL,NONE,4,SAN ANTONIO,01/15/2019,1
EVERLASTING COMPD, MARCELO GREEN,1,RESIDENTIAL,NONE,57,MARCELO GREEN,01/30/2019,1
NO. 48 PEREZ ST. NSHA, BF HOMES,1,RESIDENTIAL,NONE,1,BF HOMES,01/15/2019,1
UNITED NATIONS ST. SAO PAOLO BETTER LIVING,0,RESIDENTIAL,NONE,1,DON BOSCO,01/31/2019,1
PAL DRIVE AIRLANE ROAD, VITALEZ,2,RESIDENTIAL,NONE,3,VITALEZ,02/02/2019,2
P7 RIVERSIDE MULTI, MOONWALK,2,RESIDENTIAL,2,15,MOONWALK,02/15/2019,2
SITIO SAN ROQUE , SAN ISIDRO,3,RESIDENTIAL,NONE,70,SAN ISIDRO,02/22/2019,2
BAYABAS ST. SAMPALOC II , BF HOMES,0,RESIDENTIAL,NONE,0,BF HOMES,02/27/2019,2
#9 GREENHEIGHTS AVE. BRGY. SAN ISIDRO,1,RESIDENTIAL,1,1,SAN ISIDRO,03/05/2019,3
PUYAT COMP, BRGY. TAMBO,0,Post/Electrical,NONE,0,TAMBO,03/08/2019,3
BURGUNDY MARINA BAY BRGY. DON GALO,0,Grass,NONE,0,DON GALO,03/08/2019,3
DELARAMA TARGET 2 BRGY. BF,1,RESIDENTIAL,NONE,4,BF HOMES,03/13/2019,3
OLD UNIWIDE SAN ISIDRO,0,RUBBISH,NONE,0,SAN ISIDRO,03/14/2019,3
SYRACUSE ST. EURO CAMPUS BRGY. DON BOSCO,0,RUBBISH,NONE,0,DON BOSCO,03/16/2019,3
ESPIRITU COMP. BRGY SAN ISIDRO,0,RESIDENTIAL,NONE,0,SAN ISIDRO,03/16/2019,3
UMALPAS COMP BRGY SAN ISIDRO,0,Grass,NONE,0,SAN ISIDRO,03/17/2019,3
NEAR BRGY STO. NIÃ‘O BESIDE CASINO FILIPINO,0,Grass,NONE,0,STO. NIÃ‘O,03/18/2019,3
BACK OF ICON HOTEL BRGY. DON GALO,0,Grass,NONE,0,DON GALO,03/20/2019,3
SITIO DE ASIS BRGY. SAN MARTIN DE PORRES,0,RESIDENTIAL,NONE,0,SMDP,03/20/2019,3
BATAAN ST. BRGY TAMBO,0,RUBBISH,NONE,0,TAMBO,03/26/2019,3
MANG INASAL BRGY BACLARAN,0,COMMERCIAL,NONE,0,BACLARAN,03/26/2019,3
BACK OF COASTAL MALL BRGY. TAMBO,0,Grass,NONE,0,TAMBO,03/27/2019,3
MATTHEW ST. MULTINATIONAL VILLAGE,0,Grass,NONE,0,MOONWALK,03/28/2019,3
TIMOTHY ST. MULTINANTIONAL VILLAGE,0,Grass,NONE,0,MOONWALK,03/28/2019,3
GRAMMY HOTEL BRGY. BF HOMES,0,VEHICULAR,NONE,0,SAN ANTONIO,03/30/2019,3
KAY BUBOY BRIDGE BRGY SAN DIONISIO,1,RESIDENTIAL,NONE,0,SAN DIONISIO,03/30/2019,3
AMITY ST. BRGY DON BOSCO,0,Grass,NONE,0,DON BOSCO,03/31/2019,3
C-5 Ext LUPANG PANGARAP BRGY SAN DIONISIO,0,Grass,NONE,0,SAN DIONISIO,03/24/2019,3
REYES COMP. CIRCLE ST. SAN ANTONIO,0,RUBBISH,NONE,0,SAN ANTONIO,03/09/2019,3
RIVERSIDE BRGY. STO NIÃ‘O,0,Post/Electrical,NONE,0,STO. NIÃ‘O,03/12/2019,3
DOÃ‘A SOLEDAD AVE BRGY DON BOSCO,0,RUBBISH,NONE,0,DON BOSCO,03/22/2019,3
DOÃ‘A SOLEDAD PRIME CARE CLINIC BRGY. DON BOSCO,0,RUBBISH,NONE,0,BF HOMES,03/17/2019,3
1ST ILAYA ST BRGY. STO. NIÃ‘O,0,RESIDENTIAL,NONE,0,STO. NIÃ‘O,03/27/2019,3
TOPLAND GUERRERO COMP. BRGY SAN ISIDRO,0,Grass,NONE,0,SAN ISIDRO,03/17/2019,3
SEACOM SUCAT RD. BRGY SAN ANTONIO,0,VEHICULAR,NONE,0,SAN ANTONIO,03/28/2019,3
OLD UNIWIDE SAN ISIDRO,0,RUBBISH,NONE,0,SAN ISIDRO,03/25/2019,3
PEARL PLAZA QUIRINO AVE. BRGY. TAMBO,0,Post/Electrical,NONE,0,TAMBO,04/01/2019,4
C-5 SUCAT BRGY. SAN DIONISIO,0,Grass,NONE,0,SAN DIONISIO,04/01/2019,4
DATING PERYAHAN BRGY. STO.NIÃ‘O,0,Grass,NONE,0,SANTO NIÃ‘O,04/07/2019,4
OLD CASINO FILIPINO BRGY STO. NIÃ‘O,0,Grass,0,0,SANTO NIÃ‘O,04/08/2019,4
CULDESAC ROAD BRGY. SUNVALLEY,0,RESIDENTIAL,NONE,0,SUN VALLEY,04/06/2019,4
,,,,,,,,
,,,,,,,,
